场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,恢复固定解时间
八一路隧道-往,10s,0.06078242346962191,-0.06511914126111588,-0.01632531705547416,0.09928117922282771,0.363999999999999,0.11100000000000065,0.08699999999999997,0.06144610561495356,0.08079617881490034,-0.0787690578649281,7.2000000000116415
,30s,0.06654215725292756,0.014573774412131785,-0.007325318834479446,0.09928117922282771,0.363999999999999,0.11100000000000065,0.08699999999999997,0.06144610561495356,0.08079617881490034,-0.0687690578649372,
,60s,0.12030756544851309,0.09994602921572165,0.012674684077002453,0.15640598652177864,0.379999999999999,0.14400000000000013,0.08699999999999997,0.06144610561495356,0.12079617881490037,-0.0687690578649372,
,120s,0.12030756544851309,0.09994602921572165,0.012674684077002453,0.15640598652177864,0.379999999999999,0.14400000000000013,0.08699999999999997,0.06144610561495356,0.12079617881490037,-0.0687690578649372,
,500m,0.07329012530013213,0.03674388982967407,-0.0013253159037942691,0.09928117922282771,0.363999999999999,0.11100000000000065,0.08699999999999997,0.06144610561495356,0.08079617881490034,-0.0687690578649372,
,1000m,0.12030756544851309,0.09994602921572165,0.012674684077002453,0.15640598652177864,0.379999999999999,0.14400000000000013,0.08699999999999997,0.06144610561495356,0.12079617881490037,-0.0687690578649372,
,2000m,0.12030756544851309,0.09994602921572165,0.012674684077002453,0.15640598652177864,0.379999999999999,0.14400000000000013,0.08699999999999997,0.06144610561495356,0.12079617881490037,-0.0687690578649372,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,恢复固定解时间
东湖隧道-往,10s,0.06085796212338629,-0.00222020853103487,-0.009325316450982132,0.09096738660476708,0.129999999999999,0.07800000000000029,0.030000000000000027,0.07144610561495357,0.020796178814900285,-0.09876905786492413,16.20000000001164
,30s,0.16530165881939338,-0.00222020853103487,-0.009325316450982132,0.2985282292588438,0.129999999999999,0.07800000000000118,0.030000000000000027,0.1114461056149536,0.05079617881490024,-0.09876905786490991,
,60s,0.3003895346750027,-0.00222020853103487,-0.009325316450982132,0.6167933005161137,0.129999999999999,0.2010000000000005,0.05600000000000001,0.2514461056149535,0.05079617881490024,-0.08876905786491901,
,120s,0.43487477910511474,-0.00222020853103487,-0.009325316450982132,1.4744273950718574,0.18700000000000117,0.25200000000000067,0.089,0.2514461056149535,0.10079617881490024,-0.0787690578649281,
,500m,0.13368052889651616,-0.00222020853103487,-0.009325316450982132,0.24468074388254402,0.129999999999999,0.07800000000000029,0.030000000000000027,0.1114461056149536,0.05079617881490024,-0.09876905786490991,
,1000m,0.23227846091394627,-0.00222020853103487,-0.009325316450982132,0.5155252263646756,0.129999999999999,0.2010000000000005,0.05600000000000001,0.2514461056149535,0.05079617881490024,-0.08876905786491901,
,2000m,0.43487477910511474,-0.00222020853103487,-0.009325316450982132,1.4744273950718574,0.18700000000000117,0.25200000000000067,0.089,0.2514461056149535,0.10079617881490024,-0.0787690578649281,
